,1-grams,1-grams count,2-grams,2-grams count,3-grams,3-grams count,4-grams,4-grams count
78,,,𐑞𐑦,10311388,𐑑𐑱𐑒,2829982,𐑛𐑦𐑕𐑐,1040309
79,,,𐑳𐑯,10294622,𐑞𐑰𐑟,2809790,𐑮𐑧𐑕𐑑,1024391
80,,,𐑯𐑩,10152613,𐑧𐑒𐑑,2807898,𐑤𐑨𐑯𐑛,1018785
81,,,𐑱𐑑,9910985,𐑚𐑦𐑤,2806007,𐑒𐑷𐑤𐑛,1011903
82,,,𐑒𐑳,9860319,𐑑𐑮𐑦,2797144,𐑦𐑖𐑩𐑯,1007478
83,,,𐑚𐑮,9555033,𐑼𐑩𐑤,2796122,𐑑𐑧𐑥𐑐,1002626
84,,,𐑒𐑱,9550384,𐑑𐑧𐑯,2788957,𐑒𐑢𐑧𐑕,996141
85,,,𐑩𐑚,9509611,𐑩𐑜𐑧,2776868,𐑒𐑲𐑯𐑛,994748
86,,,𐑝𐑦,9478209,𐑧𐑯𐑛,2762524,𐑥𐑴𐑥𐑧,990302
87,,,𐑦𐑤,9272838,𐑑𐑦𐑙,2753988,𐑕𐑥𐑷𐑤,989578
88,,,𐑕𐑒,9240681,𐑒𐑢𐑲,2744654,𐑔𐑦𐑙𐑟,978663
89,,,𐑒𐑢,9223880,𐑢𐑧𐑤,2695983,𐑚𐑦𐑒𐑪,969556
90,,,𐑥𐑰,9145938,𐑥𐑱𐑛,2676244,𐑮𐑦𐑑𐑻,969513
91,,,𐑞𐑧,9093986,𐑕𐑳𐑯,2664582,𐑒𐑩𐑯𐑓,968252
92,,,𐑕𐑱,9059077,𐑡𐑧𐑯,2606588,𐑐𐑨𐑕𐑑,966663
93,,,𐑒𐑮,8858929,𐑛𐑦𐑛,2579691,𐑣𐑨𐑝𐑦,966069
94,,,𐑢𐑳,8819762,𐑣𐑨𐑯,2564762,𐑒𐑨𐑮𐑦,965682
95,,,𐑛𐑩,8791723,𐑑𐑮𐑨,2493773,𐑦𐑯𐑑𐑧,964360
96,,,𐑩𐑥,8639257,𐑒𐑪𐑥,2483249,𐑓𐑭𐑞𐑼,963990
97,,,𐑒𐑕,8631945,𐑦𐑖𐑩,2470433,𐑷𐑤𐑢𐑱,963980
98,,,𐑧𐑤,8446985,𐑕𐑳𐑗,2459108,𐑣𐑬𐑧𐑝,938571
99,,,𐑦𐑥,8378613,𐑮𐑦𐑥,2443226,𐑚𐑦𐑤𐑰,924262
